What is an endofunction?	a function whose domain and range are the same set.<br><br>crole pg 2
Let A be a fixed set of data elements. We wish to describe a class of buffer objects, which contain an element a ∈ A. The methods that it should have are store(a), to put an element a ∈ A in a buffer, and read to read the content of a buffer.<br><br>we make the following decisions:<br>- what happens when we send the store(a) message to a buffer which is already full? [we choose that nothing will happen]<br>- what happens when we read from an empty buffer? [we choose that the observable outcome will be an error value]<br><br>Provide two buffer classes PR and DR. DR is a destructive-read buffer in which reading an element empties the buffer. PR is a persistent-read buffer in which reading leaves the buffer unchanged, and a separate <i>empty</i> method is provided for clearing out the buffer.<br>	pg 3871, near bottom<br>
See the definitions of the PR class and the DR class on pg 3871.<br>Express the equations of these classes using commutative diagrams.<br><br>Challenge: for PR, try to represent the bottom two equations in the same diagram<br><br>	pg 3871/3872<br>
Give the definition for a class representing a machine that handles coffee and tea requests.<br><br>There are methods coin for inserting a coin, liq for making a choice between coffee and tea, and add to choose whether one wishes the coffee or tea to be black (b), with milk (m), with sugar (s), or both with milk and sugar (ms). The interesting aspect is that we use a fourth private method status to describe the internal state of the machine. The user of objects belonging to this class is not supposed to have access to this method. With this status method we can express how the public methods change the local state. This is a crucial technique in coalgebraic specification. For convenience, we assume that only one type of coin is used.<br>	pg 3873<br>
Give a brief overview of how local operational semantics for an object is modeled.<br>	pg 3874<br>
What can we say about two objects belonging to the same class which have the same public operational semantics?<br>	pg 3874, lemma 4.2<br><br>
Provide the definition for a <i>transition step</i> of an object.<br>	pg 3874<br>
How can an element O(p) of an object p's operational semantics be described explicitly, and why?<br>	pg 3875, lemma 4.4<br>
What does it mean for a set to be <i>transitive</i>?	pg 3694<br>
Consider the following statement:<br><br>A set X is an ordinal if and only if it is transitive and totally ordered by ∈.<br><br>Prove or disprove.<br>	true. pg 3694.
Consider the following statement:<br><br>A set X is an ordinal if and only if it is totally ordered by ∈.<br><br>Prove or disprove.<br>	IMPOSTOR. it must also be transitive.<br>{ 1, 2 } is a counterexample.<br>It is total since 1 < 2, but not transitive, because 0 is an element of 1 but not { 1 , 2 }<br>pg 3694<br>
Consider the following statement:<br><br>If α is an ordinal, then α ∪ {α} is an ordinal.<br><br>Prove or disprove.	true. pg 3695, lemma 3.1.2<br>
Consider the following statement:<br><br>If A is a set of ordinals, then ∪A is an ordinal.<br><br>Prove or disprove.<br>	true. pg 3695, lemma 3.1.3<br>
Let ω be the first limit ordinal. What does ω + ω denote? How can we prove that ω + ω exists?<br>	pg 3695/3696<br>
Given ordinals α and β, what does α+β denote?<br>	pg 3696, section 3.2<br>
Consider the following statement:<br><br>Addition is associative.<br><br>Prove or disprove.<br>	true. pg 3696, bottom<br>
Consider the following statement:<br><br>Ordinal addition is commutative.<br><br>Prove or disprove.<br>	IMPOSTOR. pg 3697, near top.<br>
What is an <i>ordinal sum</i>?	pg 3697, below section 3.3<br>
Given ordinals α and β, what does α·β denote?<br>	pg 3698, near top<br>
Consider the following statement:<br><br>Ordinal multiplication is commutative.<br><br>Prove or disprove.<br>	IMPOSTOR. pg 3698.<br>
Consider the following statement:<br><br>Ordinal multiplication distributes over ordinal addition.<br><br>Prove or disprove.<br>	This is only half of an impostor, because it left-distributes, but doesn't right distribute.<br><br>pg 3698, lemma 3.3.1<br><br>
Consider the following statement:<br><br>Ordinal multiplication is associative.<br><br>Prove or disprove.	true. pg 3698, lemma 3.3.2<br><br>
Read the text above section 3.4 on page 3699<br><br>	pg 3699<br>
Let λ be a limit ordinal and <$>\langle \alpha_{\xi} \mid \xi < \lambda \rangle</$> be a λ-sequence of ordinals. What does <$$>\lim_{\xi < \lambda} \alpha_{\xi} = \alpha</$$> denote?	pg 3699, section 3.4<br>
Let λ be a limit ordinal, and let <$>\langle \alpha_{\xi} \mid \xi < \lambda \rangle</$> be an increasing sequence of ordinals. Consider the following statement:<br><br>This sequence has a (unique) limit, and indeed:<br><br><$$>\lim_{\xi < \lambda} \alpha_{\xi} = \bigcup_{\xi < \lambda} \alpha_{\xi}</$$><br><br>Prove or disprove.<br>	Denote the limit with α.<br><br>Is α an ordinal? To find out, check whether it is transitive and totally ordered. (It is)<br><br><latex>~\\<br>Let $\beta < \alpha$. Then $\beta \subset \alpha_{\zeta}$ for some $\zeta < \lambda$ (because some $\alpha_i$ for $i < \lambda$ must contain an element not in $\beta$ due to the strict inequality, and additionally because the ordinals are totally ordered by inclusion). Let $\mu$ be an ordinal such that $\zeta < \mu < \lambda$. Then $\beta \subset \alpha_{\zeta} \subset \alpha_{\mu} \subseteq \alpha$<br></latex><br><br>pg 3699, lemma 3.4.1
Consider the following statement:<br><br>Let λ, μ be ordinals, and let f : μ → λ be an order-preserving function such that lim<sub>ξ < μ</sub>f(ξ) = λ. Let ⟨α<sub>ξ</sub> | ξ < λ⟩ be an increasing sequence. Then lim<sub>ξ < λ</sub> α<sub>ξ</sub> = lim<sub>ξ < μ</sub> α<sub>f(ξ)</sub>.<br><br>Prove or disprove.<br><br>	Both of these are equal to unions, by lemma 3.4.1. We just need to prove the unions are equal.<br><br>That the right union is contained in the left union is trivial.<br><br>Proving the left union is contained in the right union involves making use of the assumption that the limit is equal to λ (expand out the definition of limits)<br><br>true. lemma 3.4.2. todo: add impostor.<br>
<latex>~\\<br>Let $\lambda$ be a limit ordinal, and let $\langle \alpha_{\xi} \mid \xi < \lambda \rangle$, $\langle \beta_{\zeta} \mid \zeta < \lambda \rangle$ be increasing sequences such that<br>\begin{itemize}<br>\item $(\forall \xi < \lambda) (\exists \zeta < \lambda) (\beta_{\zeta} > \alpha_{\xi})$<br>\item $(\forall \zeta < \lambda) (\exists \xi < \lambda) (\alpha_{\xi} > \beta_{\zeta})$<br>\end{itemize}<br>Consider the following statement:\\~\\<br>$$\lim_{\xi < \lambda} \alpha_{\xi} = \lim_{\zeta < \lambda} \beta_{\zeta}$$<br>Prove or disprove.<br></latex>	true. pg 3700. TODO: add impostor?<br><br><latex>~\\<br>By Lemma 3.4.1 on page 3699, we merely must show that $\bigcup_{\xi < \lambda} \alpha_{\xi} = \bigcup_{\zeta < \lambda} \beta_{\zeta}$. Let $x \in \bigcup_{\xi < \lambda} \alpha_{\xi}$. Then $x \in \alpha_\xi$ for some $\xi < \lambda$. Then by assumption there exists a $\zeta < \lambda$ such that $\alpha_{\xi} < \beta_\zeta$, and so $x \in \beta_\zeta$. Hence $x \in \bigcup_{\zeta < \lambda} \beta_{\zeta}$. The other direction is symmetric.<br></latex>
Prove lemma 3.4.4 on pg 3700<br><br>TODO: transcribe contents of lemma onto card<br>	<br>
Do exercise 3.4.1 on pg 3700<br>	pg 3700<br>
<br><latex>~\\<br>Let $\lambda$ be a limit ordinal, and let $\langle \alpha_{\xi} \mid \xi < \lambda \rangle$ be any $\lambda$-sequence of ordinals. For each $\mu < \lambda$, let<br>$$\sigma_{\mu} = \sum_{\xi < \mu} \alpha_\xi$$<br>Consider the following statement:<br>$$\sum_{\xi < \lambda} \alpha_{\xi} = \lim_{\mu < \lambda} \sigma_{\mu}$$<br>Prove or disprove.<br></latex>	true. lemma 3.4.4, pg 3700
What does the word <i>continuity</i> mean when used in the context of functions on ordinals?	pg 3700, near bottom.<br>
What is a <i>normal function</i>? 	pg 3700, near bottom<br>
Let f : μ → μ be a normal function, and let λ ∈ μ be a limit ordinal. Let ⟨α<sub>ξ</sub> | ξ < λ⟩ be an increasing sequence of ordinals in μ and (lim<sub>ξ<λ</sub>α<sub>ξ</sub>) < μ.<br><br>Consider the following statement:<br><br>f(lim<sub>ξ<λ</sub>α<sub>ξ</sub>) = lim<sub>ξ<λ</sub> f(α<sub>ξ</sub>)<br><br>Prove or disprove.<br>	seems like an immediate consequence of the definition of continuity; normal functions are continuous and therefore continuous at every limit ordinal.<br><br>pg 3701<br>
Let f : On → On be a normal function. What can be said about fixpoints of f and why?<br>	pg 3701, lemma 3.4.7<br>
Let α, β, and γ be ordinals. Consider the following statement:<br>α<sup>β</sup>·α<sup>γ</sup> = α<sup>β·γ</sup>.<br>Prove or disprove.<br>	IMPOSTOR!<br><latex>~\\<br>Should be $\alpha^\beta \cdot \alpha^\gamma = \alpha^{\beta + \gamma}$\\<br>pg 3879<br></latex>
Prove that (α<sup>β</sup>)<sup>γ</sup> = (α<sup>β·γ</sup>).<br>	<latex>~\\<br>pg 3702\\<br>We're going to assume that lemma 3.5.2, directly below has already been proven (we can prove it without 3.5.1, as described in DetailedNotes). The proof then proceeds by transfinite induction.<br><br>\begin{description}<br>\item[0:]~\\<br>$(\alpha^{\beta})^0 = 1 = \alpha^0 = \alpha^{\beta \cdot 0}$<br>\item[successor:]~\\<br>$(\alpha^{\beta})^{\gamma + 1} = (\alpha^{\beta})^{\gamma} \cdot (\alpha^{\beta})<br>= (\alpha^{\beta \cdot \gamma}) \cdot (\alpha^{\beta}) = (\alpha^{\beta \cdot \gamma + \beta})<br>= \alpha^{\beta \cdot (\gamma + 1)}$<br>\item[limit $\lambda$:]~\\<br>todo<br>\end{description}<br><br><br></latex><br>
Let α and β be ordinals. What does α<sup>β</sup> denote?<br>	pg 3702<br>
Let α be a fixed ordinal. Consider the following statement.<br><br>Regarded as functions of β, the functions α+β, α·β, and α<sup>β</sup> are normal functions.<br><br>Prove or disprove.	true, pg 3879, lemma 3.5.2<br>TODO: add impostor<br>
Consider the following statement:<br><br>For any ordinal α, there are arbitrarily large ordinals β, γ, and δ such that:<br>α+β=β, α·γ=γ, and α<sup>δ</sup>=δ.<br><br>Prove or disprove.	true. pg 3702, lemma 3.4.7<br>TODO: add impostor<br>
Exercise 3.5.1, pg 3702<br>	<latex>~\\<br>To prove that $\alpha + \alpha \cdot \omega = \alpha \cdot \omega$, we could show that these two ordinals are isomorphic, and therefore equal. However, it's easier just to use algebraic properties: $\alpha + \alpha \cdot \omega = \alpha \cdot (1 + \omega) = \alpha \cdot \omega$.<br>\\~\\<br>Proving $\alpha \cdot \alpha^\omega = \alpha^\omega$ would be much harded through the use of isomorphisms, but fortunately we can apply algebraic properties here too:<br>$\alpha \cdot \alpha^\omega = \alpha^1 \cdot \alpha ^ \omega = \alpha^{1 + \omega} = \alpha^\omega$.<br></latex>
Exercise 3.5.2, pg 3702/3703<br><br>	It's first helpful to understand intuitively how the provided examples work. <br>For the first example, "adding an ordinal to an infinite sum of itself" should result in an "infinite sum of itself". In the next example, "multiplying an ordinal with an infinite product of itself" should result in an "infinite product of itself".<br><br>Following these examples, what we need is an ordinal that is essentially an infinite exponentiation of <$>\alpha</$>, we choose the limit of the sequence <$>a = \langle \alpha, \alpha^\alpha, \alpha^{\alpha^\alpha}, \alpha^{\alpha^{\alpha^\alpha}}, \ldots \rangle</$>, which must exist due to  lemma 3.4.1 on page 3699.<br><br>We can then apply lemma 3.4.5 on pg 3701, letting <$>\mu = \lim_{\omega} a</$>, letting f be the ordinal exponentiation function, and letting the increasing sequence be a.
Exercise 3.5.3, pg 3703<br>	NOTE: Set theorists say "order preserving" to mean "strictly order preserving"!!! And Devlin doesn't define the notion anywhere. But we can clarify this detail via the web, see: https://planetmath.org/normalordinalfunction<br><br><latex>~\\<br>To show that $n^{\omega} = lim_{k < \omega}~n^k = \omega$, <br>we must prove that for all $\beta < \omega$ there exists some $\alpha < \omega$ such that<br>$\alpha < k < \omega \Rightarrow \beta < n^k < \omega$. We choose $\alpha \doteq \beta$.<br>Since $n^{(-)}$ is normal, it is strictly order preserving. Strictly order preserving functions on ordinals are inflationary by a variation of the proof of theorem 1.7.2, pg 3645 (todo: explain this variation in DetailedNotes). Thus, since $\alpha = \beta$ by definition, $\alpha < k < \omega$ implies $\beta < k < n^k$.\\~\\<br>We must next show that $k < \omega$ implies $n^k < \omega$. This first relies on ordinal multiplication being strictly order preserving in each argument (is this proven in DetailedNotes? if not, prove!). Then, we use the fact that for any finite $n$, $n \cdot \omega = \omega$ (we prove this by demonstrating an order isomorphism between the lhs and rhs) we have $n^{k+1} = n^k \cdot n < n^k \cdot \omega = \omega$ and $n^0 = 1 < \omega$ as base case.<br><br></latex><br>
List the three properties of finite set cardinality	pg 3703
Give the definition of the <i>cardinality</i> of a set. What is a <i>cardinal</i>?<br>	pg 3704<br>
Consider the following statement:<br><br>Every finite ordinal is a cardinal.<br><br>Prove or disprove.<br>	true. pg 3704<br>TODO: add impostor
Consider the following statement:<br><br>ω is a cardinal<br><br>Prove or disprove.<br>	pg 3704, thm 3.6.1<br>TODO: add impostor<br>
Consider the following statement:<br><br>Every infinite cardinal is a limit ordinal.<br><br>Prove or disprove.<br>	pg 3704, thm 3.6.1<br>todo: add impostor<br>
Let X and Y be sets. Consider the following statement:<br><br>|X| ≤ |Y| if and only if there is an injection f : X → Y.<br><br>Prove or disprove.<br>	pg 3705, thm 3.6.2<br>
Let X and Y be sets. Consider the following statement:<br><br>If there are injections i : X → Y and j : Y → X, then there is a bijection f : X ↔ Y<br><br>Prove or disprove.<br>	true. thm 3.6.3, pg 3705<br>todo: add impostor<br>
Let X and Y be non-empty sets. Consider the following statement:<br><br>The following are equivalent:<br>(i)  There is an injection f : X → Y.<br>(ii) There is a surjection g : Y → X.<br><br>Prove or disprove.<br>	true. lemma 3.6.4, pg 3706<br>todo: add impostor<br>
Consider the following statement:<br><br>An ordinal α is a cardinal if and only if for no ordinal β < α is there a surjection f : β → α.<br><br>Prove or disprove.<br>	true. lemma 3.6.5, pg 3707<br>todo: add impostor.<br>
Consider the following statement:<br><br>If κ is a cardinal, then there is a cardinal greater than κ.<br><br>Prove or disprove.<br>	true. lemma 3.6.6, pg 3707<br>todo: add impostor<br>
Do the objects of <b>Cat</b> really encompass <i>all</i> categories, or only a selection of them? How would one justify this definition of <b>Cat</b>?<br>	pg 2680<br><br>"In particular, then, Cat is not an object of itself, which may come as a relief to some readers."<br>
Which of the categories <b>Sets</b>, <b>Pos</b>, <b>Group</b>, and <b>Cat</b> are small? Of those which are not small, which are locally small?	pg 2680/2681<br>
Give the identity axiom and the cut rule, and explain their converse relationship.<br>	pdf pg 38
Give the rules for Gentzen-style classical propositional logic.<br>	tut 1 - pg 14<br>
Give the three structural rules for the sequent calculus.	pdf pg 37
One could say that  "27 x 37 = 999" is true because the two sides, "27 x 37" and "999", denote the same integer.<br><br>This reasoning misses an essential point, though. Explain this point.	pdf pg 9,10
Explain the pros and cons of sense vs. denotation.	pdf pg 10
Explain Tarski's semantic tradition.	pdf pg 12,13<br>This explanation seems kinda weak. I should look these up on wikipedia.
Explain Heyting's semantic tradition.	pdf pg 13
In Heyting semantics, a deduction A on the hypotheses B<sub>1</sub>,...,B<sub>b</sub> can be seen as a function. Explain this function, and give its domain and range.<br>	pdf pg 3898<br>
Give the three fundamental equations involving natural deductions of conjunctions and their projections.<br><br>	pdf pg 3898<br>
Explain how ⇒I is described using Heyting semantics.	pdf pg 3898/3899 (item 4)
Explain ⇒E using Heyting semantics.	pdf pg 3899<br>
Give the syntactic forms and typing rules of the typed lambda calculus with pairs.  (This is the language discussed in girard chpt 3, and corresponds to the (∧, ⇒) fragment of propositional calculus)	pdf pg 3902<br><br>
List the three primary and two secondary equations for the typed lambda calculus with pairs as given by Girard in chapter 3.	pdf pg 3903<br>
What does it mean for a system of equations to be consistent. Can you prove that the system of primary equations for the typed lambda calculus with pairs is consistent?<br>	consistency is mentioned on pdf pg 3903<br><br>as it says, the consistency of typed lambda calculus with pairs is a straightforward consequence of the Church-Rosser property and the weak normalization theorem.
How would you describe what a "type" is to someone? 	pdf pg 3904 has a fantastic discussion of what a type is
In the typed lambda calculus with pairs, what is does it mean for a term to be normal?	pdf pg 3905<br>
In the typed lambda calculus with pairs, what is head-normal form?	pdf pg 3905, near bottom
Explain the Curry-Howard Isomorphism in terms of the typed lambda calculus with pairs.<br>	Don't forget that an isomorphism is more than just a bijection.<br><br>NOTE: awodey says that Curry-Howard is NOT a bijection, but a functor<br><br>The bijection aspect is explained on <br>pdf pg 3906.<br><br>The behavior preservation is explained a bit on pdf pg 3907/3908.... and explored later in the book I presume.
State the Church-Rosser property.	pdf pg 30
Use the Church-Rosser property to prove that a term has at most one normal form.	pdf pg 31
Prove that the lambda calculus with pairs is <i>consistent</i> under the following system of equations<br>π<sup>1</sup>(x,y)=x, <br>π<sup>2</sup>(x,y)=y,<br>(λx<sup>U</sup> . v) u = v[u/x]<br>and the standard properties of equivalence (symm, trans, refl)<br><br> 	pdf pg 31
State the weak normalization theorem. Why is it called the "weak" normilization theorem rather than just the normalization theorem? 	pdf pg 32
Give the definition of the degree of a type.<br>	pdf pg 32
Give the definition of the degree of a redex.<br>	pdf pg 32
Give the definition of the degree of a term.	pdf pg 33
Let x be a variable of type U. Consider the following statement:<br><br>d(t[u/x]) ≤ max(d(t),d(u),∂(U))<br><br>Prove or give a counterexample.<br>	provable<br>pdf pg 33
Let x be a variable of type U. Consider the following statement:<br><br>d(t[u/x]) ≤ max(d(t),d(u))<br><br>Prove or give a counterexample.	counterexample:<br><br>let u = (λa<sup>A</sup>.a, λa<sup>A</sup>.a)<br>let t = π<sup>1</sup>x<br><br>d(u)=d(t)=0<br>d(t[u/x]) = ∂ ( (A→A) x (A→A) ) = 3<br><br>pdf pg 32
Let r be a redex of any type T. Consider the following statement:<br><br>∂(r)>∂(T)<br><br>Prove or give a counterexample.	proof is straightforward<br>pdf pg 33
Consider the following statement:<br><br>If t ⇝ u, then d(u) ≤ d(t).<br><br>Prove or give a counterexample. 	pdf pg 33
Consider the following statement:<br><br>If t ⇝ u, then d(t) ≤ d(u) <br><br>prove or give a counterexample.	there should be a counterexample.<br><br>pdf pg 33
Let r be a redex of maximal degree n in t, and suppose that all the redexes strictly contained in r have degree less than n. <br><br>Consider the following statement:<br><br>If u is obtained from t by converting r to c, then u has strictly fewer redexes of degree n.<br><br>Prove or give a counterexample.	pdf pg 34.<br>note for the second point that "conserve" just means that no new redexes inside r are being created, though some may be destroyed.<br>
Give the definition of <i>strongly normalizable</i>.	pdf pg 34
Prove the weak normalization theorem.	<br>pdf pg 34 -- section 4.3.4, "Proof of the Theorem"
Give the definition of a sequent, along with its naive (denotational) interpretation.<br>	pdf pg 37
In the natural deduction system of Gentzen and Prawitz, a deduction consists in deriving a proposition from a finite number of packets of assumptions.<br><br>Give the precise, mathematical definition of a "packet of assumptions"	A multiset of propositions. Note that Gallier implies all propositions in this multiset must be the same. Hence, it might be more sensible to define a packet of assumptions as a pair (i, p) where i is a positive integer, and p is a proposition.<br><br>Reading the examples on pages 5 and 6 will be helpful. <br><br>gallier tut 1 - pg 4, 5, 6<br>
Give the three rules for implicational logic.	gallier tut 1 - pg 5
In implicational logic, what is a deduction hypothesis, and what does it mean for a hypothesis to get discharged?	gallier tut 1 - pg 5, 4
In the natural deduction system of Gentzen and Prawitz, what is a proof, and how does a proof differ from a deduction?	"In the deduction system of Gentzen and Prawitz, a deduction consists in deriving a proposition from a finite number of packets of assumptions, using some predefined inference rules... a proof is a deduction such that all the assumptions have been discharged."<br><br>gallier tut 1 - pg 4
Show that (┴-elim) can be derived in classical propositional logic.<br>	tut 1 - pg 11
Give the axioms and inference rules for intuitionistic propositional logic.<br>(Natural deduction style)	tut 1 - pg 10,11
How does minimal propositional logic differ from intuitionistic propositional logic?	tut 1, pg 11
How does classical propositional logic differ from minimal propositional logic?	gallier tut 1 - pg 11
Is <br>A⊃¬¬A<br>derivable in minimal propositional logic?<br>What about intuitionistic propostional logic? <br>Is <br>¬¬A⊃A<br>derivable in the aformentioned logics?	tut 1 - pg 11
In which of the logics is (¬A ˅ A) provable in?<br>-Classical propositional logic<br>-Intuitionistic propositional logic<br>-Minimal propositional logic<br>Supply proofs for each logic for which the answer is affirmative.<br>	tut 1 - pg 11,12
Give the rules for the typed λ-calculus λ<sup>→,x,+,┴</sup>.	tut 1, pg 12
N<sub>i</sub><sup>⊃,˄,˅,┴</sup> and<br>λ<sup>→,x,+,┴</sup> have some unpleasant features. List and discuss these.<br>	tut 1 - pg 14
What is the fundamental difference between the formulations of classical propositional logic and intuitionistic propositional logic using Gentzen's sequent calculus?	With classical propositional logic, the right-hand side of the sequent is a multiset of propositions.<br><br>There are two ways to formulate intuitionistic propositional logic:<br>- With ¬, the rhs contains at most one proposition.<br>- With ┴, the rhs contains exactly one proposition.<br><br>gallier tut 1 - pg 15,16
Give the rules for intuitionistic propositional logic (⊃, ˄, ˅, ¬) using sequent calculus. Suppose we remove ¬ from our logic and represent ¬A using A => ┴ instead. Can we then simplify our rules?	pdf pg 15
What is the motivation for requiring the rhs of a sequent to contain exactly one formula rather than at most one formula?	gallier tut 1 - pdf pg 16
Give the rules for G<sub>i</sub><sup>˄,˅,⊃,┴</sup>.<br><br>	tut 1 - pg 16
What does it mean to rectify a deduction? What is the point of rectifying deductions?	Rectifying a deduction is the process of sorting all of the antecedent entries. The function N rectifies as it translates so that the order the resulting antecedent entries are in is well defined (i.e. so that N is a function).<br><br>read a more detailed description at:<br>gallier tut 1 - pg 19-20  <br>
Let P be a proof tree whose last step is:<br>G ├ ┴<br>---------<br>G ├ A<br><br>Give the deduction N(P)	gallier tut 1 - pg 20-21
Let P be a proof tree whose last entry is:<br>A,A,G├ B<br>-------------<br>A,G ├ B<br><br>Give the deduction N(P).	gallier tut 1 - pg 21
Let P be a proof tree whose last step uses the (˄ right) rule.<br><br>Give the natural deduction N(P).<br>	gallier tut 1 - pg 21
Consider the following statement:<br><br>For every proof P in G<sub>i</sub><sup>⊃,˄,˅,┴</sup>,<br>N(P) is in normal form.<br><br>Prove or give a counterexample.	This is true. In order to prove it, we need to consider every root rule for  G<sub>i</sub><sup>⊃,˄,˅,┴</sup> .<br>Only the ones that map to ⊃ elimination could violate normal form. There is one such rule... it is pretty complicated, so I didn't work out the details of why it doesn't violate normal form... TODO?<br> <br>Gallier tut 1 - pg 24
Give the definition of the cut rule (for G<sub>i</sub><sup>⊃,˄,˅,┴,cut</sup>)	gallier tut 1 - pg 25
Given a deduction D of the form:<br><br>D<sub>1</sub><br>G ├ A˄B<br>------------<br>G ├ A<br><br>Give the proof G(D).<br>	gallier tut 1 - pg 26
Given a deduction D with two premises,<br><br>G ├ A ⊃ B<br>the deduction for is called D<sub>1</sub><br><br>and <br>G ├ A<br>the deduction for which is called D<sub>2</sub><br><br>Concluding<br>G├ B<br><br>Give the proof G(D).<br>	gallier tut 1 - pg 27
A leaf in a natural deduction proof can be either <i>dead</i> or <i>alive</i>. What does this mean?	pg 3896<br>
Explain the equation among natural deduction proofs that corresponds to β-reduction.<br>	pg 3900 (also compare this to the semantics for implication elimination given on page 3899)<br>
What does it mean for a proof to be in normal form?<br>	pg 3907<br>
How can we use the concept of generalized elements to test if an arrow is monic?<br>	pg 2693, near top.
In some category <b>C</b>, we want to test if a square commutes.<br><br>(Let f : A → B, g : A → D, α : B → C, β : D → C. Do we have αf = βg?)<br><br>How can we use generalized elements to do this?<br><br>	pg 2693<br>
Here are two posets:<br><br>X = {x ≤ y, x ≤ z}<br>A = {a ≤ b ≤ c}<br><br>How can we use generalized elements to prove that they are not isomorphic in the category <b>Pos</b>?<br><br>	pg 2693/2694<br>
Draw a category theory diagram demonstrating the relation between the tupling and projection operators and the set A, B, and A×B.<br>	pg 2695<br>
In any category <b>C</b>, what is a <i>product diagram</i> for objects A,B ∈ <b>C</b>?<br> 	pg 2695, def 2.15<br>
Explain the "two parts" of the UMP for product diagrams.<br>	pg 2696, top<br>
Consider the following statement:<br><br>Products are unique up to isomorphism.<br><br>Prove or disprove.<br>	pg 2696, prop 2.17<br>
Consider a poset P as a category. Let p, q ∈ P. Describe the characteristics of the category-theoretic product p×q.<br>	pg 2698
What are the components of the simply-typed lambda calculus (Girard-style, with pairs), and how can it be viewed as a category. Does this category have products? Explain.<br><br>	pg 2699<br>
How can the Curry-Howard "isomorphism" be viewed through the lens of category theory?<br>	pg 2699-2702<br><br>
What does it mean for a category to have <i>binary products</i>?<br>	pg 2703<br>
In a category with binary products, what does the notation f × f' mean, where f and f' are arrows?<br>	pg 2702 (section 2.6)<br>
Consider the following statement:<br><br>If a category has binary products, then it has all finite products with two or more factors.<br><br>Prove or disprove.<br>	pg 2703<br>
In category-theoretic terms, what is a <i>nullary product</i>? A <i>unary product</i>?	pg 2703<br>
What does it mean for a category to <i>have all finite products</i>? What does it mean for a category to <i>have all small products</i>?	pg 2704, def 2.19 near top<br>
Provide the seven axioms of category theory.<br>	pg 2709
Given a sentence Σ in the elementary language of category theory, how do we obtain its "dual statement" Σ*?<br>	pg 2709<br>
State and justify the category theoretic <i>duality principle</i>.<br>	pg 2710, prop 3.1<br>
State and justify the <i>conceptual</i> version of category theoretic duality. How does it differ from the formal version?<br>	pg 2710, proposition 3.2<br>
If A and B are objects in some category, what is a <i>coproduct</i> of A and B? How are coproducts related to products?<br>	pg 2711, def 3.3<br>
How can coproducts be characterized in the category of sets?	pg 2712, example 3.4<br>
In the category <b>Mon</b> what can be said about the coproduct M(A) + M(B) of the free monoids on the sets A and B?	A monoid homomorphism is determined entirely on how it maps between generating sets. If we have a homomorphism from M(A) to Z and another from M(B) to Z, it isn't hard to see how to build one from M(A+B) that commutes.<br><br>pg 2712<br><br>
Considering some poset P as a category, characterize the coproduct of two objects of this category.<br><br>	pg 2714, example 3.7<br>
Considering a deductive system as a category, where objects are formulas and arrows are proofs (using the domain as the hypothesis and the codomain as the conclusion), how would would characterize coproducts in this category? Are there any subtleties that arise which require us to formalize this category in a certain way to gain the presence of coproducts?<br>	pg 2714, example 3.8<br>
What is an <i>equalizer</i>?<br>	pg 2718<br>
Suppose we have the functions f,g : <b>R</b><sup>2</sup> → <b>R</b>.<br>What is the equalizer of these two arrows in the category <b>Top</b>?<br>	pg 2718<br>
In the category <b>Sets</b>, consider two functions f,g : A → B. What is their equalizer?<br>	pg 2719, example 3.15<br>
Consider the following statement:<br><br>In any category, if e : C → A is an equalizer of some pair of arrows, then e is monic.<br><br>Prove or disprove.<br> 	true. pg 2720<br>
Consider the following statement:<br><br>In any category, if e : C → A is an equalizer of some pair of arrows, then e is epic.<br><br>Prove or disprove.<br> 	IMPOSTOR<br><br>pg 2720
If X is a set and ~ is an equivalence relation on X, then what does X / ~ denote?<br>	pg 2722
What is an equivalence relation?	pg 2721, near bottom
What does it mean for one arrow to <i>extend along</i> another?	pg 2722 (explained implicitly by the triangle diagram and the text below it)
Let X be a set and ~ an equivalence relation on X. Let q : X → X/~ be the quotient mapping which takes x to [x]. When does a map f : X → Y extend along q?<br>	pg 2722
Give the definition of <i>coequalizer</i>.<br>	pg 2722, def 3.18<br>
Consider the following statement:<br><br>Coequalizers are epic.<br><br>Prove or disprove.<br>	pg 2722, near bottom<br>
Give intuition for what a coequalizer is.<br>	pg 2723, near top.<br>
Let R ⊆ X × X be an equivalence relation on a set X, and let r<sub>1</sub>, r<sub>2</sub> : R → X be the projections of the inclusion R ⊆ X × X. Characterize the coequalizer of r<sub>1</sub> and r<sub>2</sub>.<br>	pg 2723<br>
How do we construct the coequalizer in <b>Sets</b> of an arbitrary parallel pair of functions f·g : A ⇉ B?<br><br>	pg 2723, near bottom<br>
Describe the coproduct of rooted posets in terms of coequalizers.	pg 2724, example 3.21 (near top)<br>
Explain the intuition behind the idea that monos can be regarded as generalized subsets.	pg 2745
What is a <i>subobject</i> of an object X in a category <b>C</b>?<br>	pg 2745
Give the definition of a <i>morphism</i> between subobjects of an object.	pg 2746 (top)
If <b>C</b> is a category, and X is an object of <b>C</b>, define the category Sub<sub><b>C</b></sub>(X).<br>	pg 2746
For category <b>C</b> and object X of <b>C</b>, explain why Sub<sub><b>C</b></sub>(X) is considered a preorder category.<br>	pg 2746
Explain why "equivalent subobjects have isomorphic domains"	pg 2746
What is the difference between a subobject and the domain of a subobject?	a subobject is a mono. its domain is the domain of the mono<br><br>pg 2746
Two fundamentally different notions of subobject often get used. Explain the difference between these notions.	pg 2746, remark 5.2
